Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
,Pampare,Rabbit,182,,,Aheun Fursuit,12,Partial,None,Realistic Toony,N/A,N/A,Purple,Red,Rabbit,
,Ready,Bear,11,,,Aheun Fursuit,12,Partial,None,Toony,Plantigrade,Four,White,Blue,Bear,
,Seiya the Tigershark,Hybrid Custom,120,,,Aheun Fursuit,12,Fullsuit,None,Toony,Digitigrade,Other,Blue,Green,Hybrid,
,Soonlokeu,Deer,28,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Brown,Grey,Deer,
,Yellow Cat,Cat Domestic,18,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Yellow,Blue,Domestic Cat,
,Ajax,Jackal,146,,,Ajax Suitengu,13,Partial,None,Toony,Plantigrade,Five,Black,Purple,Dog Thick Tail,
,Alena,Cat Domestic,18,,,Ajax Suitengu,13,Partial,None,Toony,N/A,N/A,Black,Blue,Domestic Cat,
,Allure Kin,Hybrid Sergal,134,,,Ajax Suitengu,13,Partial,None,Realistic,N/A,N/A,Purple,Blue,Hybrid,
,DJ Dingo,Dingo,29,,,Ajax Suitengu,13,Fullsuit,None,Toony,Digitigrade,Five,Blue,Blue,Dog Thick Tail,
,Khaost,Wolf,210,,,Ajax Suitengu,13,Partial,None,Toony,N/A,N/A,White,Brown,Wolf,
,Rinka,Wolf,210,,,Ajax Suitengu,13,Partial,None,Toony,N/A,N/A,White,Green,Wolf,
,Short,Hybrid Custom,120,,,Ajax Suitengu,13,Partial,None,Toony,Plantigrade,Five,Green,Blue,Hybrid,
,Tyberius,Hybrid Sergal,134,,,Ajax Suitengu,13,Fullsuit,None,Realistic,Digitigrade,Five,White,Red,Hybrid,
,Zander Mehi,Wolf,210,,,Ajax Suitengu,13,Partial,None,Toony,N/A,N/A,Black,Green,Wolf,
Kodiak Owner: krasnayath Species: husky DB Added: 2009-06-09 Created: 2009-06-30 Updated: 2011-01-08 Builder(s): Akorn Studios,Kodiak,Dog Husky,52,30-06-2009,08-01-2011,Akorn Studios,14,Partial,None,Toony,Plantigrade,Four,Black,Blue,Husky,
Xavakin the Timber Wolf Owner: TheSonicGod Species: wolf DB Added: 2010-08-13 Created: 2008-09-01 Updated: 2010-08-13 Builder(s): Akorn Studios,Xavakin The Timber Wolf,Wolf,210,01-09-2008,13-08-2010,Akorn Studios,14,Partial,None,Toony,Plantigrade,Four,Grey,Red,Wolf,
,Blue Haired Deer,Deer,28,,,Al Bird,15,Partial,None,Toony,Plantigrade,Other,Red,Multi,Deer,
,Cobalt,Dog Domestic,47,,,Al Bird,15,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Dog Half Cocked Stub Tail,
,Kemono Cat Partial,Dog Domestic,47,,,Al Bird,15,Partial,None,Toony,Plantigrade,Four,White,Brown,Dog Half Cocked Stub Tail,
,Realistic White Dragon Partial,Fantasy - Dragon,78,,,Al Bird,15,Partial,None,Realistic,N/A,N/A,White,Purple,Dragon,
,Tasmanian Devil Partial,Tasmanian Devil,201,,,Al Bird,15,Partial,None,Toony,N/A,N/A,Black,Red,Wolverine,
Vapordog Owner: Morissey Species: dog DB Added: 2018-03-21 Created: 2016-12-11 Updated: 2018-03-21 Builder(s): Al Bird,Vapordog,Dog Domestic,47,11-12-2016,21-03-2018,Al Bird,15,Partial,None,Toony,Plantigrade,Four,Black,Red,Dog Half Cocked Stub Tail,
,Fever,Hybrid Custom,120,,,Albrecht,16,Partial,None,Realistic,Plantigrade,Five,White,Red,Hybrid,
,Joker,Hyena,144,,,Albrecht,16,Partial,None,Realistic,Plantigrade,Five,Brown,Brown,Missingno (No Avatar Graphic Found),
Little Wolf Owner: Little Wolf Species: wolf DB Added: 2010-03-08 Created: Updated: 2010-03-08 Builder(s): Albrecht,Little Wolf,Wolf,210,,08-03-2010,Albrecht,16,Fullsuit,None,Realistic,Plantigrade,Four,Grey,Green,Wolf,
MidNight Owner: djem Species: wolf DB Added: 2008-10-28 Created: 2008-02-01 Updated: 2010-01-08 Builder(s): Albrecht,Midnight,Wolf,210,01-02-2008,08-01-2010,Albrecht,16,Partial,None,Realistic,Plantigrade,Five,Black,Orange,Wolf,
MrZebra Owner: MrZebra Species: zebra DB Added: 2010-09-12 Created: 2010-09-01 Updated: 2012-12-10 Builder(s): Albrecht,Mrzebra,Zebra,212,01-09-2010,10-12-2012,Albrecht,16,Partial,None,Realistic,Plantigrade,Five,White,Black,Zebra,
,Syrus,Fox,100,,,Albrecht,16,Partial,None,Realistic,N/A,N/A,Brown,Black,Fox,
KaniS Owner: Murrah Species: dragon DB Added: 2010-08-13 Created: 2009-01-15 Updated: 2010-08-13 Builder(s): Murrahnithahn-i-ia,Kanis,Fantasy - Dragon,78,15-01-2009,13-08-2010,Alien Eyes Creations,17,Partial,None,Realistic,N/A,N/A,Yellow,Black,Dragon,
Murrahnithahn-i-a Owner: Murrah Species: dragon DB Added: 2010-08-13 Created: 2009-01-15 Updated: 2010-08-13 Builder(s): Murrahnithahn-i-ia,Murrahnithahn-I-A,Fantasy - Dragon,78,15-01-2009,13-08-2010,Alien Eyes Creations,17,Partial,None,Realistic Toony,N/A,N/A,White,Blue,Dragon,
Reese Tora Owner: Murrah Species: cat DB Added: 2010-08-13 Created: 2010-06-10 Updated: 2010-08-13 Builder(s): Murrahnithahn-i-ia,Reese Tora,Cat Domestic,18,10-06-2010,13-08-2010,Alien Eyes Creations,17,Fullsuit,None,Realistic Toony,Digitigrade,Five,Orange,Green,Domestic Cat,
,Waarrk,Fantasy - Gryphon,83,,,Alien Eyes Creations,17,Partial,None,Realistic,N/A,N/A,Grey,Blue,Gryphon,
,Alinchen Bear,Bear,11,,,Alinchen Fursuits,18,Partial,None,Realistic,Plantigrade,Four,Brown,Blue,Bear,
,Alinchen Fox,Fox,100,,,Alinchen Fursuits,18,Partial,None,Toony,Plantigrade,Four,Orange,Green,Fox,
,Keks,Dog Border Collie,35,,,Alinchen Fursuits,18,Partial,None,Toony,N/A,N/A,Black,Multi,Dog Half Cocked Medium Tail,
Kimaro Wolf Owner: Kimaro Species: wolf DB Added: 2013-03-05 Created: Updated: 2013-03-05 Builder(s): Alinchen Fursuits,Kimaro Wolf,Wolf,210,,05-03-2013,Alinchen Fursuits,18,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Wolf,
,Nuke,Hyena,144,,,Alinchen Fursuits,18,Partial,None,Realistic,Plantigrade,Four,Green,Black,Missingno (No Avatar Graphic Found),
Recuo Owner: Mesur Species: raccoon DB Added: 2012-10-26 Created: 2012-08-01 Updated: 2012-10-26 Builder(s): Alinchen Fursuits,Recuo,Raccoon,183,01-08-2012,26-10-2012,Alinchen Fursuits,18,Partial,None,Toony,Plantigrade,Five,Grey,Blue,Raccoon,
,Wolf Link,Wolf,210,,,Alinchen Fursuits,18,Fullsuit,None,Realistic Toony,Quad,Four,Black,Blue,Wolf,
Sly Fox Owner: YappyFox Species: fox DB Added: 2011-03-04 Created: Updated: 2011-03-04 Builder(s): Alinco,Sly Fox,Fox,100,,04-03-2011,Alinco Costumes,19,Fullsuit,None,Toony,Plantigrade,Four,Brown,Brown,Fox,
,Freddy,Deer,28,,,All Fur Fun,20,Partial,None,Toony,N/A,N/A,Grey,Red,Deer,
,Jason,Goat,106,,,All Fur Fun,20,Partial,None,Toony,N/A,N/A,Black,Blue,Goat,
,Lilith,Fennec,97,,,All Fur Fun,20,Partial,None,Toony,Plantigrade,Four,Brown,Pink,Fennec,
,Meke,Hybrid Custom,120,,,All Fur Fun,20,Partial,None,Toony,Plantigrade,Five,Blue,Yellow,Hybrid,
,Meke,Hybrid Custom,120,,,All Fur Fun,20,Fullsuit,None,Toony,Digitigrade,Four,Blue,Yellow,Hybrid,
